TKO,,"DES,TKO,STK,SMART/AMEX,,,,,"
TTD,,"DES,TTD,STK,SMART/AMEX,,,,,"
UHS,,"DES,UHS,STK,SMART/AMEX,,,,,"
URBN,,"DES,URBN,STK,SMART/AMEX,,,,,"
ZM,,"DES,ZM,STK,SMART/AMEX,,,,,"
DCI,,"DES,DCI,STK,SMART/AMEX,,,,,"
EME,,"DES,EME,STK,SMART/AMEX,,,,,"
GCT,,"DES,GCT,STK,SMART/AMEX,,,,,"
HRL,,"DES,HRL,STK,SMART/AMEX,,,,,"
KBR,,"DES,KBR,STK,SMART/AMEX,,,,,"
VTRS,,"DES,VTRS,STK,SMART/AMEX,,,,,"
ADSK,,"DES,ADSK,STK,SMART/AMEX,,,,,"
AMBA,,"DES,AMBA,STK,SMART/AMEX,,,,,"
DELL,,"DES,DELL,STK,SMART/AMEX,,,,,"
ESTC,,"DES,ESTC,STK,SMART/AMEX,,,,,"
INTU,,"DES,INTU,STK,SMART/AMEX,,,,,"
MNST,,"DES,MNST,STK,SMART/AMEX,,,,,"
NTAP,,"DES,NTAP,STK,SMART/AMEX,,,,,"
SOLV,,"DES,SOLV,STK,SMART/AMEX,,,,,"
XYZ,,"DES,XYZ,STK,SMART/AMEX,,,,,"
ZS,,"DES,ZS,STK,SMART/AMEX,,,,,"
AAON,,"DES,AAON,STK,SMART/AMEX,,,,,"
NCLH,,"DES,NCLH,STK,SMART/AMEX,,,,,"
ASAN,,"DES,ASAN,STK,SMART/AMEX,,,,,"
ASTS,,"DES,ASTS,STK,SMART/AMEX,,,,,"
MDB,,"DES,MDB,STK,SMART/AMEX,,,,,"
BBY,,"DES,BBY,STK,SMART/AMEX,,,,,"
TGT,,"DES,TGT,STK,SMART/AMEX,,,,,"
BOX,,"DES,BOX,STK,SMART/AMEX,,,,,"
CRWD,,"DES,CRWD,STK,SMART/AMEX,,,,,"
GTLB,,"DES,GTLB,STK,SMART/AMEX,,,,,"
ROST,,"DES,ROST,STK,SMART/AMEX,,,,,"
ANF,,"DES,ANF,STK,SMART/AMEX,,,,,"
AEO,,"DES,AEO,STK,SMART/AMEX,,,,,"
AVGO,,"DES,AVGO,STK,SMART/AMEX,,,,,"
OKTA,,"DES,OKTA,STK,SMART/AMEX,,,,,"
VEEV,,"DES,VEEV,STK,SMART/AMEX,,,,,"
BJ,,"DES,BJ,STK,SMART/AMEX,,,,,"
BURL,,"DES,BURL,STK,SMART/AMEX,,,,,"
CIEN,,"DES,CIEN,STK,SMART/AMEX,,,,,"
KR,,"DES,KR,STK,SMART/AMEX,,,,,"
M,,"DES,M,STK,SMART/AMEX,,,,,"
VSCO,,"DES,VSCO,STK,SMART/AMEX,,,,,"
COO,,"DES,COO,STK,SMART/AMEX,,,,,"
COST,,"DES,COST,STK,SMART/AMEX,,,,,"
